time,pressure,joint0,joint1,joint2,joint3,joint4,joint5,joint6,motor_temp0,motor_temp1,motor_temp2,motor_temp3,motor_temp4,motor_temp5,motor_temp6,sensor_id,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
1776185420.340577,8.3696,-0.0210006717322751,0.0,0.0,-0.03144118456535969,0.0,-0.0314410944034823,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,0,7.608,0,8.0152,0,0,0,0,0,0,7.9704,0,8.0208
1776185420.340748,8.3696,-0.0210006717322751,0.0,0.0,-0.03144118456535969,0.0,-0.0314410944034823,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,1,0,0,0,7.788,0,0,7.6208,0,7.7752,0,0,0
1776185420.3408139,8.3696,-0.0210006717322751,0.0,0.0,-0.03144118456535969,0.0,-0.0314410944034823,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,2,7.6904,0,7.7712,0,0,0,0,0,0,7.6576,0,7.6008
1776185420.3408751,8.3696,-0.0210006717322751,0.0,0.0,-0.03144118456535969,0.0,-0.0314410944034823,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,3,0,0,0,7.4872,0,0,7.2024,0,7.8992,0,0,0
1776185420.3409636,8.3696,-0.0210006717322751,0.0,0.0,-0.03144118456535969,0.0,-0.0314410944034823,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,4,8.3696,0,7.4976,0,0,0,0,0,0,7.496,0,7.4896
1776185420.3410335,8.3696,-0.0210006717322751,0.0,0.0,-0.03144118456535969,0.0,-0.0314410944034823,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,5,0,0,0,7.48,0,0,7.2872,0,7.7464,0,0,0
1776185420.3410883,8.3696,-0.0210006717322751,0.0,0.0,-0.03144118456535969,0.0,-0.0314410944034823,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,6,7.9496,0,7.5472,0,0,0,0,0,0,8.3424,0,7.4656
1776185420.3411467,8.3696,-0.0210006717322751,0.0,0.0,-0.03144118456535969,0.0,-0.0314410944034823,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,7,7.4744,0,7.6512,0,0,0,0,0,0,7.4688,0,7.4784
1776185420.3412025,8.3696,-0.0210006717322751,0.0,0.0,-0.03144118456535969,0.0,-0.0314410944034823,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,8,7.4624,0,7.4656,0,0,0,0,0,0,7.4704,0,7.6368
1776185420.3919988,8.3696,-0.0415806582976296,0.0,0.0,-0.06221236087405249,0.0,-0.062212272515412656,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,0,7.608,0,8.0152,0,0,0,0,0,0,7.9704,0,8.0208
1776185420.3920622,8.3696,-0.0415806582976296,0.0,0.0,-0.06221236087405249,0.0,-0.062212272515412656,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,1,0,0,0,7.788,0,0,7.6208,0,7.7752,0,0,0
1776185420.3920891,8.3696,-0.0415806582976296,0.0,0.0,-0.06221236087405249,0.0,-0.062212272515412656,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,2,7.6904,0,7.7712,0,0,0,0,0,0,7.6576,0,7.6008
1776185420.3921163,8.3696,-0.0415806582976296,0.0,0.0,-0.06221236087405249,0.0,-0.062212272515412656,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,3,0,0,0,7.4872,0,0,7.2024,0,7.8992,0,0,0
1776185420.3921437,8.3696,-0.0415806582976296,0.0,0.0,-0.06221236087405249,0.0,-0.062212272515412656,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,4,8.3696,0,7.4976,0,0,0,0,0,0,7.496,0,7.4896
1776185420.3921764,8.3696,-0.0415806582976296,0.0,0.0,-0.06221236087405249,0.0,-0.062212272515412656,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,5,0,0,0,7.48,0,0,7.2872,0,7.7464,0,0,0
1776185420.3921928,8.3696,-0.0415806582976296,0.0,0.0,-0.06221236087405249,0.0,-0.062212272515412656,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,6,7.9496,0,7.5472,0,0,0,0,0,0,8.3424,0,7.4656
1776185420.3922236,8.3696,-0.0415806582976296,0.0,0.0,-0.06221236087405249,0.0,-0.062212272515412656,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,7,7.4744,0,7.6512,0,0,0,0,0,0,7.4688,0,7.4784
1776185420.3922534,8.3696,-0.0415806582976296,0.0,0.0,-0.06221236087405249,0.0,-0.062212272515412656,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,8,7.4624,0,7.4656,0,0,0,0,0,0,7.4704,0,7.6368
1776185420.4429832,8.3696,-0.061749045131677005,0.0,0.0,-0.09236811365657144,0.0,-0.09236802706510441,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,0,7.608,0,8.0152,0,0,0,0,0,0,7.9704,0,8.0208
1776185420.4430254,8.3696,-0.061749045131677005,0.0,0.0,-0.09236811365657144,0.0,-0.09236802706510441,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,1,0,0,0,7.788,0,0,7.6208,0,7.7752,0,0,0
1776185420.4430523,8.3696,-0.061749045131677005,0.0,0.0,-0.09236811365657144,0.0,-0.09236802706510441,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,2,7.6904,0,7.7712,0,0,0,0,0,0,7.6576,0,7.6008
1776185420.443078,8.3696,-0.061749045131677005,0.0,0.0,-0.09236811365657144,0.0,-0.09236802706510441,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,3,0,0,0,7.4872,0,0,7.2024,0,7.8992,0,0,0
1776185420.443103,8.3696,-0.061749045131677005,0.0,0.0,-0.09236811365657144,0.0,-0.09236802706510441,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,4,8.3696,0,7.4976,0,0,0,0,0,0,7.496,0,7.4896
1776185420.443128,8.3696,-0.061749045131677005,0.0,0.0,-0.09236811365657144,0.0,-0.09236802706510441,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,5,0,0,0,7.48,0,0,7.2872,0,7.7464,0,0,0
1776185420.4431527,8.3696,-0.061749045131677005,0.0,0.0,-0.09236811365657144,0.0,-0.09236802706510441,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,6,7.9496,0,7.5472,0,0,0,0,0,0,8.3424,0,7.4656
1776185420.443178,8.3696,-0.061749045131677005,0.0,0.0,-0.09236811365657144,0.0,-0.09236802706510441,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,7,7.4744,0,7.6512,0,0,0,0,0,0,7.4688,0,7.4784
1776185420.443203,8.3696,-0.061749045131677005,0.0,0.0,-0.09236811365657144,0.0,-0.09236802706510441,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,8,7.4624,0,7.4656,0,0,0,0,0,0,7.4704,0,7.6368
1776185420.4937844,8.3704,-0.08151406422904346,0.0,0.0,-0.12192075138344001,0.0,-0.12192066652380233,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,0,7.608,0,8.0152,0,0,0,0,0,0,7.9704,0,8.0208
1776185420.4938164,8.3704,-0.08151406422904346,0.0,0.0,-0.12192075138344001,0.0,-0.12192066652380233,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,1,0,0,0,7.788,0,0,7.6208,0,7.7752,0,0,0
1776185420.493833,8.3704,-0.08151406422904346,0.0,0.0,-0.12192075138344001,0.0,-0.12192066652380233,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,2,7.6904,0,7.7704,0,0,0,0,0,0,7.6568,0,7.6016
1776185420.493848,8.3704,-0.08151406422904346,0.0,0.0,-0.12192075138344001,0.0,-0.12192066652380233,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,3,0,0,0,7.488,0,0,7.2032,0,7.9,0,0,0
1776185420.4938626,8.3704,-0.08151406422904346,0.0,0.0,-0.12192075138344001,0.0,-0.12192066652380233,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,4,8.3704,0,7.4976,0,0,0,0,0,0,7.4944,0,7.4888
1776185420.4938776,8.3704,-0.08151406422904346,0.0,0.0,-0.12192075138344001,0.0,-0.12192066652380233,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,5,0,0,0,7.4808,0,0,7.288,0,7.748,0,0,0
1776185420.4938922,8.3704,-0.08151406422904346,0.0,0.0,-0.12192075138344001,0.0,-0.12192066652380233,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,6,7.9488,0,7.5488,0,0,0,0,0,0,8.3424,0,7.4648
1776185420.4939067,8.3704,-0.08151406422904346,0.0,0.0,-0.12192075138344001,0.0,-0.12192066652380233,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,7,7.4744,0,7.6512,0,0,0,0,0,0,7.4696,0,7.4776
1776185420.4939272,8.3704,-0.08151406422904346,0.0,0.0,-0.12192075138344001,0.0,-0.12192066652380233,0.0,45.0,45.0,42.0,44.0,41.0,45.0,42.0,8,7.464,0,7.464,0,0,0,0,0,0,7.4712,0,7.6376
