time,pressure,joint0,joint1,joint2,joint3,joint4,joint5,joint6,motor_temp0,motor_temp1,motor_temp2,motor_temp3,motor_temp4,motor_temp5,motor_temp6,sensor_id,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
1776184396.4125373,8.4472,-6.498316065073175e-07,-0.6885168332139582,0.0349992976825321,-0.03140151647783792,-0.035000852162066505,-0.03140081350732595,-0.035001104740744124,46.0,45.0,42.0,45.0,42.0,46.0,44.0,0,7.6136,0,8.0256,0,0,0,0,0,0,7.968,0,8.0024
1776184396.412738,8.4472,-6.498316065073175e-07,-0.6885168332139582,0.0349992976825321,-0.03140151647783792,-0.035000852162066505,-0.03140081350732595,-0.035001104740744124,46.0,45.0,42.0,45.0,42.0,46.0,44.0,1,0,0,0,7.6776,0,0,7.5456,0,7.7,0,0,0
1776184396.412828,8.4472,-6.498316065073175e-07,-0.6885168332139582,0.0349992976825321,-0.03140151647783792,-0.035000852162066505,-0.03140081350732595,-0.035001104740744124,46.0,45.0,42.0,45.0,42.0,46.0,44.0,2,7.76,0,7.816,0,0,0,0,0,0,7.6864,0,7.6456
1776184396.412906,8.4472,-6.498316065073175e-07,-0.6885168332139582,0.0349992976825321,-0.03140151647783792,-0.035000852162066505,-0.03140081350732595,-0.035001104740744124,46.0,45.0,42.0,45.0,42.0,46.0,44.0,3,0,0,0,7.5064,0,0,7.2288,0,7.9304,0,0,0
1776184396.4129803,8.4472,-6.498316065073175e-07,-0.6885168332139582,0.0349992976825321,-0.03140151647783792,-0.035000852162066505,-0.03140081350732595,-0.035001104740744124,46.0,45.0,42.0,45.0,42.0,46.0,44.0,4,8.4472,0,7.5768,0,0,0,0,0,0,7.5656,0,7.5584
1776184396.4130557,8.4472,-6.498316065073175e-07,-0.6885168332139582,0.0349992976825321,-0.03140151647783792,-0.035000852162066505,-0.03140081350732595,-0.035001104740744124,46.0,45.0,42.0,45.0,42.0,46.0,44.0,5,0,0,0,7.504,0,0,7.3312,0,7.7792,0,0,0
1776184396.4131286,8.4472,-6.498316065073175e-07,-0.6885168332139582,0.0349992976825321,-0.03140151647783792,-0.035000852162066505,-0.03140081350732595,-0.035001104740744124,46.0,45.0,42.0,45.0,42.0,46.0,44.0,6,7.9832,0,7.6072,0,0,0,0,0,0,8.4008,0,7.516
1776184396.4132051,8.4472,-6.498316065073175e-07,-0.6885168332139582,0.0349992976825321,-0.03140151647783792,-0.035000852162066505,-0.03140081350732595,-0.035001104740744124,46.0,45.0,42.0,45.0,42.0,46.0,44.0,7,7.5008,0,7.6712,0,0,0,0,0,0,7.5144,0,7.528
1776184396.41328,8.4472,-6.498316065073175e-07,-0.6885168332139582,0.0349992976825321,-0.03140151647783792,-0.035000852162066505,-0.03140081350732595,-0.035001104740744124,46.0,45.0,42.0,45.0,42.0,46.0,44.0,8,7.5176,0,7.5168,0,0,0,0,0,0,7.5216,0,7.6688
1776184396.4639015,8.4464,-6.498316065073175e-07,-0.653746496549679,0.06929931172888146,-0.062173486148281165,-0.06930083511882518,-0.06217279723717943,-0.06930108264592924,46.0,45.0,42.0,45.0,42.0,46.0,44.0,0,7.6152,0,8.0264,0,0,0,0,0,0,7.9672,0,8.0016
1776184396.4639406,8.4464,-6.498316065073175e-07,-0.653746496549679,0.06929931172888146,-0.062173486148281165,-0.06930083511882518,-0.06217279723717943,-0.06930108264592924,46.0,45.0,42.0,45.0,42.0,46.0,44.0,1,0,0,0,7.6776,0,0,7.5456,0,7.7,0,0,0
1776184396.4639637,8.4464,-6.498316065073175e-07,-0.653746496549679,0.06929931172888146,-0.062173486148281165,-0.06930083511882518,-0.06217279723717943,-0.06930108264592924,46.0,45.0,42.0,45.0,42.0,46.0,44.0,2,7.7608,0,7.8168,0,0,0,0,0,0,7.6872,0,7.6456
1776184396.4639852,8.4464,-6.498316065073175e-07,-0.653746496549679,0.06929931172888146,-0.062173486148281165,-0.06930083511882518,-0.06217279723717943,-0.06930108264592924,46.0,45.0,42.0,45.0,42.0,46.0,44.0,3,0,0,0,7.5064,0,0,7.2288,0,7.9304,0,0,0
