time,step,sensor_id,joint0,joint1,joint2,joint3,joint4,joint5,joint6,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
1773781462.8485663,0.0,0,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.5664,0,7.9512,0,0,0,0,0,0,7.9112,0,7.8456
1773781462.8510659,0.0,1,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.8632,0,0,7.6224,0,7.832,0,0,0
1773781462.8532395,0.0,2,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.6552,0,8.2168,0,0,0,0,0,0,7.8864,0,7.516
1773781462.8558187,0.0,3,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.4808,0,0,7.3832,0,7.8984,0,0,0
1773781462.8577635,0.0,4,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,8.428,0,7.5704,0,0,0,0,0,0,7.444,0,7.4408
1773781462.8596892,0.0,5,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.468,0,0,7.4424,0,7.8768,0,0,0
1773781462.86147,0.0,6,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.9648,0,7.5136,0,0,0,0,0,0,8.3872,0,7.4536
1773781462.8637505,0.0,7,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.5128,0,7.6928,0,0,0,0,0,0,7.4552,0,7.4608
1773781462.8661664,0.0,8,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.4424,0,7.4504,0,0,0,0,0,0,7.4568,0,7.6984
1773781463.0697682,0.02564102564102564,0,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.5664,0,7.9512,0,0,0,0,0,0,7.9112,0,7.8456
1773781463.0712802,0.02564102564102564,1,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.8632,0,0,7.6224,0,7.832,0,0,0
1773781463.0725427,0.02564102564102564,2,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.6552,0,8.2168,0,0,0,0,0,0,7.8864,0,7.516
1773781463.0736294,0.02564102564102564,3,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.4808,0,0,7.3832,0,7.8984,0,0,0
1773781463.0746775,0.02564102564102564,4,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,8.428,0,7.5704,0,0,0,0,0,0,7.444,0,7.4408
1773781463.0761425,0.02564102564102564,5,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.468,0,0,7.4424,0,7.8768,0,0,0
1773781463.0775926,0.02564102564102564,6,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.9648,0,7.5136,0,0,0,0,0,0,8.3872,0,7.4536
1773781463.0792027,0.02564102564102564,7,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.5128,0,7.6928,0,0,0,0,0,0,7.4552,0,7.4608
1773781463.080483,0.02564102564102564,8,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.4424,0,7.4504,0,0,0,0,0,0,7.4568,0,7.6984
1773781463.2835345,0.05128205128205128,0,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.5672,0,7.9504,0,0,0,0,0,0,7.912,0,7.8456
1773781463.2847095,0.05128205128205128,1,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.864,0,0,7.6224,0,7.832,0,0,0
1773781463.285748,0.05128205128205128,2,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.6536,0,8.2408,0,0,0,0,0,0,7.8832,0,7.5152
1773781463.2871494,0.05128205128205128,3,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.48,0,0,7.3824,0,7.8992,0,0,0
1773781463.2885785,0.05128205128205128,4,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,8.428,0,7.5712,0,0,0,0,0,0,7.4432,0,7.4408
1773781463.2898743,0.05128205128205128,5,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.4672,0,0,7.4424,0,7.8768,0,0,0
1773781463.2915359,0.05128205128205128,6,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.9664,0,7.5136,0,0,0,0,0,0,8.3888,0,7.4528
1773781463.2931626,0.05128205128205128,7,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.5144,0,7.692,0,0,0,0,0,0,7.4544,0,7.4624
1773781463.29476,0.05128205128205128,8,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.4424,0,7.4504,0,0,0,0,0,0,7.4568,0,7.6968
1773781463.4973793,0.07692307692307693,0,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.5672,0,7.9504,0,0,0,0,0,0,7.912,0,7.8456
1773781463.4988115,0.07692307692307693,1,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.864,0,0,7.6224,0,7.832,0,0,0
1773781463.5000842,0.07692307692307693,2,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.6536,0,8.2408,0,0,0,0,0,0,7.8832,0,7.5152
1773781463.501215,0.07692307692307693,3,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.48,0,0,7.3824,0,7.8992,0,0,0
1773781463.5024428,0.07692307692307693,4,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,8.428,0,7.5712,0,0,0,0,0,0,7.4432,0,7.4408
1773781463.5036805,0.07692307692307693,5,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.4672,0,0,7.4424,0,7.8768,0,0,0
1773781463.5058763,0.07692307692307693,6,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.9664,0,7.5136,0,0,0,0,0,0,8.3888,0,7.4528
1773781463.5073404,0.07692307692307693,7,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.5144,0,7.692,0,0,0,0,0,0,7.4544,0,7.4624
1773781463.5089889,0.07692307692307693,8,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.4424,0,7.4504,0,0,0,0,0,0,7.4568,0,7.6968
1773781463.7120614,0.10256410256410256,0,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.5648,0,7.9504,0,0,0,0,0,0,7.912,0,7.8464
1773781463.7139876,0.10256410256410256,1,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.864,0,0,7.6216,0,7.832,0,0,0
1773781463.7153175,0.10256410256410256,2,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.6544,0,8.244,0,0,0,0,0,0,7.8816,0,7.5144
1773781463.7170153,0.10256410256410256,3,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.4792,0,0,7.3832,0,7.8984,0,0,0
1773781463.719019,0.10256410256410256,4,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,8.4288,0,7.5712,0,0,0,0,0,0,7.444,0,7.4416
1773781463.72174,0.10256410256410256,5,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.4688,0,0,7.4432,0,7.8776,0,0,0
1773781463.7241337,0.10256410256410256,6,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.9664,0,7.5144,0,0,0,0,0,0,8.388,0,7.4536
1773781463.7263248,0.10256410256410256,7,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.5128,0,7.692,0,0,0,0,0,0,7.456,0,7.46
1773781463.7283735,0.10256410256410256,8,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.4424,0,7.4496,0,0,0,0,0,0,7.456,0,7.6984
1773781463.9317544,0.1282051282051282,0,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.5656,0,7.9528,0,0,0,0,0,0,7.9128,0,7.8464
1773781463.9335992,0.1282051282051282,1,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.864,0,0,7.6224,0,7.832,0,0,0
1773781463.934999,0.1282051282051282,2,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.6528,0,8.2296,0,0,0,0,0,0,7.8832,0,7.5144
1773781463.9368668,0.1282051282051282,3,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.48,0,0,7.3832,0,7.8984,0,0,0
1773781463.938504,0.1282051282051282,4,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,8.428,0,7.5712,0,0,0,0,0,0,7.4448,0,7.4424
1773781463.9403853,0.1282051282051282,5,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.468,0,0,7.4432,0,7.8776,0,0,0
1773781463.942114,0.1282051282051282,6,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.9656,0,7.5144,0,0,0,0,0,0,8.3896,0,7.4528
1773781463.9437099,0.1282051282051282,7,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.5136,0,7.692,0,0,0,0,0,0,7.4552,0,7.4608
1773781463.946039,0.1282051282051282,8,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.4424,0,7.4496,0,0,0,0,0,0,7.456,0,7.6984
1773781464.149726,0.15384615384615385,0,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.5656,0,7.9504,0,0,0,0,0,0,7.9112,0,7.8456
1773781464.151618,0.15384615384615385,1,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.8632,0,0,7.6216,0,7.832,0,0,0
1773781464.1534283,0.15384615384615385,2,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.652,0,8.2472,0,0,0,0,0,0,7.88,0,7.5136
1773781464.1549807,0.15384615384615385,3,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.48,0,0,7.3816,0,7.8992,0,0,0
1773781464.157412,0.15384615384615385,4,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,8.428,0,7.5728,0,0,0,0,0,0,7.4448,0,7.4424
1773781464.1595821,0.15384615384615385,5,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.468,0,0,7.4432,0,7.8776,0,0,0
1773781464.1615436,0.15384615384615385,6,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.9672,0,7.5136,0,0,0,0,0,0,8.388,0,7.4536
1773781464.1635673,0.15384615384615385,7,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.5128,0,7.692,0,0,0,0,0,0,7.4552,0,7.46
1773781464.1655986,0.15384615384615385,8,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.4424,0,7.4504,0,0,0,0,0,0,7.456,0,7.6992
1773781464.3693395,0.1794871794871795,0,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.5664,0,7.952,0,0,0,0,0,0,7.9112,0,7.8456
1773781464.3711505,0.1794871794871795,1,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.8632,0,0,7.6216,0,7.832,0,0,0
1773781464.3727047,0.1794871794871795,2,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.6536,0,8.224,0,0,0,0,0,0,7.8832,0,7.5144
1773781464.3741925,0.1794871794871795,3,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.4808,0,0,7.3832,0,7.8984,0,0,0
1773781464.3758016,0.1794871794871795,4,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,8.4288,0,7.572,0,0,0,0,0,0,7.4456,0,7.4432
1773781464.3777745,0.1794871794871795,5,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.468,0,0,7.4432,0,7.8768,0,0,0
1773781464.379736,0.1794871794871795,6,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.9656,0,7.5128,0,0,0,0,0,0,8.3888,0,7.4536
1773781464.3819284,0.1794871794871795,7,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.5136,0,7.6928,0,0,0,0,0,0,7.4552,0,7.4608
1773781464.384384,0.1794871794871795,8,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.4432,0,7.4504,0,0,0,0,0,0,7.456,0,7.6976
1773781464.5877922,0.20512820512820512,0,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.5656,0,7.9528,0,0,0,0,0,0,7.912,0,7.8456
1773781464.590513,0.20512820512820512,1,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.8632,0,0,7.6224,0,7.8328,0,0,0
1773781464.5925014,0.20512820512820512,2,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.652,0,8.26,0,0,0,0,0,0,7.8784,0,7.516
1773781464.5941455,0.20512820512820512,3,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.48,0,0,7.3832,0,7.8992,0,0,0
